cut_region,nombre_region_dl2339,cut_provincia,nombre_provincia_dl2339,cut_comuna,nombre_comuna_dl2339,fecha_act
10,Región de Los Lagos,101,Llanquihue,10101,Puerto Montt,2025-12-01
10,Región de Los Lagos,101,Llanquihue,10102,Calbuco,2025-12-01
10,Región de Los Lagos,101,Llanquihue,10103,Cochamó,2025-12-01
10,Región de Los Lagos,101,Llanquihue,10104,Fresia,2025-12-01
10,Región de Los Lagos,101,Llanquihue,10105,Frutillar,2025-12-01
10,Región de Los Lagos,101,Llanquihue,10106,Los Muermos,2025-12-01
10,Región de Los Lagos,101,Llanquihue,10107,Llanquihue,2025-12-01
10,Región de Los Lagos,101,Llanquihue,10108,Maullín,2025-12-01
10,Región de Los Lagos,101,Llanquihue,10109,Puerto Varas,2025-12-01
10,Región de Los Lagos,102,Chiloé,10201,Castro,2025-12-01
10,Región de Los Lagos,102,Chiloé,10202,Ancud,2025-12-01
10,Región de Los Lagos,102,Chiloé,10203,Chonchi,2025-12-01
10,Región de Los Lagos,102,Chiloé,10204,Curaco de Vélez,2025-12-01
10,Región de Los Lagos,102,Chiloé,10205,Dalcahue,2025-12-01
10,Región de Los Lagos,102,Chiloé,10206,Puqueldón,2025-12-01
10,Región de Los Lagos,102,Chiloé,10207,Queilén,2025-12-01
10,Región de Los Lagos,102,Chiloé,10208,Quellón,2025-12-01
10,Región de Los Lagos,102,Chiloé,10209,Quemchi,2025-12-01
10,Región de Los Lagos,102,Chiloé,10210,Quinchao,2025-12-01
10,Región de Los Lagos,103,Osorno,10301,Osorno,2025-12-01
10,Región de Los Lagos,103,Osorno,10302,Puerto Octay,2025-12-01
10,Región de Los Lagos,103,Osorno,10303,Purranque,2025-12-01
10,Región de Los Lagos,103,Osorno,10304,Puyehue,2025-12-01
10,Región de Los Lagos,103,Osorno,10305,Río Negro,2025-12-01
10,Región de Los Lagos,103,Osorno,10306,San Juan de la Costa,2025-12-01
10,Región de Los Lagos,103,Osorno,10307,San Pablo,2025-12-01
10,Región de Los Lagos,104,Palena,10401,Chaitén,2025-12-01
10,Región de Los Lagos,104,Palena,10402,Futaleufú,2025-12-01
10,Región de Los Lagos,104,Palena,10403,Hualaihué,2025-12-01
10,Región de Los Lagos,104,Palena,10404,Palena,2025-12-01
11,Región Aisén del Gral.Carlos Ibáñez del Campo,111,Coihaique,11101,Coihaique,2025-12-01
11,Región Aisén del Gral.Carlos Ibáñez del Campo,111,Coihaique,11102,Lago Verde,2025-12-01
11,Región Aisén del Gral.Carlos Ibáñez del Campo,112,Aisén,11201,Aisén,2025-12-01
11,Región Aisén del Gral.Carlos Ibáñez del Campo,112,Aisén,11202,Cisnes,2025-12-01
11,Región Aisén del Gral.Carlos Ibáñez del Campo,112,Aisén,11203,Guaitecas,2025-12-01
11,Región Aisén del Gral.Carlos Ibáñez del Campo,113,Capitán Prat,11301,Cochrane,2025-12-01
11,Región Aisén del Gral.Carlos Ibáñez del Campo,113,Capitán Prat,11302,O'Higgins,2025-12-01
11,Región Aisén del Gral.Carlos Ibáñez del Campo,113,Capitán Prat,11303,Tortel,2025-12-01
11,Región Aisén del Gral.Carlos Ibáñez del Campo,114,General Carrera,11401,Chile Chico,2025-12-01
11,Región Aisén del Gral.Carlos Ibáñez del Campo,114,General Carrera,11402,Río Ibáñez,2025-12-01
12,Región de Magallanes y de la Antártica Chilena,121,Magallanes,12101,Punta Arenas,2025-12-01
12,Región de Magallanes y de la Antártica Chilena,121,Magallanes,12102,Laguna Blanca,2025-12-01
12,Región de Magallanes y de la Antártica Chilena,121,Magallanes,12103,Río Verde,2025-12-01
12,Región de Magallanes y de la Antártica Chilena,121,Magallanes,12104,San Gregorio,2025-12-01
12,Región de Magallanes y de la Antártica Chilena,122,Antártica Chilena,12202,Antártica,2025-12-01
12,Región de Magallanes y de la Antártica Chilena,122,Antártica Chilena,12201,Cabo de Hornos,2025-12-01
12,Región de Magallanes y de la Antártica Chilena,123,Tierra del Fuego,12301,Porvenir,2025-12-01
12,Región de Magallanes y de la Antártica Chilena,123,Tierra del Fuego,12302,Primavera,2025-12-01
12,Región de Magallanes y de la Antártica Chilena,123,Tierra del Fuego,12303,Timaukel,2025-12-01
12,Región de Magallanes y de la Antártica Chilena,124,Última Esperanza,12401,Natales,2025-12-01
12,Región de Magallanes y de la Antártica Chilena,124,Última Esperanza,12402,Torres del Paine,2025-12-01
13,Región Metropolitana de Santiago,131,Santiago,13101,Santiago,2025-12-01
13,Región Metropolitana de Santiago,131,Santiago,13102,Cerrillos,2025-12-01
13,Región Metropolitana de Santiago,131,Santiago,13103,Cerro Navia,2025-12-01
13,Región Metropolitana de Santiago,131,Santiago,13104,Conchalí,2025-12-01
13,Región Metropolitana de Santiago,131,Santiago,13105,El Bosque,2025-12-01
13,Región Metropolitana de Santiago,131,Santiago,13106,Estación Central,2025-12-01
13,Región Metropolitana de Santiago,131,Santiago,13107,Huechuraba,2025-12-01
13,Región Metropolitana de Santiago,131,Santiago,13108,Independencia,2025-12-01
13,Región Metropolitana de Santiago,131,Santiago,13109,La Cisterna,2025-12-01
13,Región Metropolitana de Santiago,131,Santiago,13110,La Florida,2025-12-01
13,Región Metropolitana de Santiago,131,Santiago,13111,La Granja,2025-12-01
13,Región Metropolitana de Santiago,131,Santiago,13112,La Pintana,2025-12-01
13,Región Metropolitana de Santiago,131,Santiago,13113,La Reina,2025-12-01
13,Región Metropolitana de Santiago,131,Santiago,13114,Las Condes,2025-12-01
13,Región Metropolitana de Santiago,131,Santiago,13115,Lo Barnechea,2025-12-01
13,Región Metropolitana de Santiago,131,Santiago,13116,Lo Espejo,2025-12-01
13,Región Metropolitana de Santiago,131,Santiago,13117,Lo Prado,2025-12-01
13,Región Metropolitana de Santiago,131,Santiago,13118,Macul,2025-12-01
13,Región Metropolitana de Santiago,131,Santiago,13119,Maipú,2025-12-01
13,Región Metropolitana de Santiago,131,Santiago,13120,Ñuñoa,2025-12-01
13,Región Metropolitana de Santiago,131,Santiago,13121,Pedro Aguirre Cerda,2025-12-01
13,Región Metropolitana de Santiago,131,Santiago,13122,Peñalolén,2025-12-01
13,Región Metropolitana de Santiago,131,Santiago,13123,Providencia,2025-12-01
13,Región Metropolitana de Santiago,131,Santiago,13124,Pudahuel,2025-12-01
13,Región Metropolitana de Santiago,131,Santiago,13125,Quilicura,2025-12-01
13,Región Metropolitana de Santiago,131,Santiago,13126,Quinta Normal,2025-12-01
13,Región Metropolitana de Santiago,131,Santiago,13127,Recoleta,2025-12-01
13,Región Metropolitana de Santiago,131,Santiago,13128,Renca,2025-12-01
13,Región Metropolitana de Santiago,131,Santiago,13129,San Joaquín,2025-12-01
13,Región Metropolitana de Santiago,131,Santiago,13130,San Miguel,2025-12-01
13,Región Metropolitana de Santiago,131,Santiago,13131,San Ramón,2025-12-01
13,Región Metropolitana de Santiago,131,Santiago,13132,Vitacura,2025-12-01
13,Región Metropolitana de Santiago,132,Cordillera,13201,Puente Alto,2025-12-01
13,Región Metropolitana de Santiago,132,Cordillera,13202,Pirque,2025-12-01
13,Región Metropolitana de Santiago,132,Cordillera,13203,San José de Maipo,2025-12-01
13,Región Metropolitana de Santiago,133,Chacabuco,13301,Colina,2025-12-01
13,Región Metropolitana de Santiago,133,Chacabuco,13302,Lampa,2025-12-01
13,Región Metropolitana de Santiago,133,Chacabuco,13303,Tiltil,2025-12-01
13,Región Metropolitana de Santiago,134,Maipo,13401,San Bernardo,2025-12-01
13,Región Metropolitana de Santiago,134,Maipo,13402,Buin,2025-12-01
13,Región Metropolitana de Santiago,134,Maipo,13403,Calera de Tango,2025-12-01
13,Región Metropolitana de Santiago,134,Maipo,13404,Paine,2025-12-01
13,Región Metropolitana de Santiago,135,Melipilla,13501,Melipilla,2025-12-01
13,Región Metropolitana de Santiago,135,Melipilla,13502,Alhué,2025-12-01
13,Región Metropolitana de Santiago,135,Melipilla,13503,Curacaví,2025-12-01
13,Región Metropolitana de Santiago,135,Melipilla,13504,María Pinto,2025-12-01
13,Región Metropolitana de Santiago,135,Melipilla,13505,San Pedro,2025-12-01
13,Región Metropolitana de Santiago,136,Talagante,13601,Talagante,2025-12-01
13,Región Metropolitana de Santiago,136,Talagante,13602,El Monte,2025-12-01
13,Región Metropolitana de Santiago,136,Talagante,13603,Isla de Maipo,2025-12-01
13,Región Metropolitana de Santiago,136,Talagante,13604,Padre Hurtado,2025-12-01
13,Región Metropolitana de Santiago,136,Talagante,13605,Peñaflor,2025-12-01
14,Región de Los Ríos,141,Valdivia,14101,Valdivia,2025-12-01
14,Región de Los Ríos,141,Valdivia,14102,Corral,2025-12-01
14,Región de Los Ríos,141,Valdivia,14103,Lanco,2025-12-01
14,Región de Los Ríos,141,Valdivia,14104,Los Lagos,2025-12-01
14,Región de Los Ríos,141,Valdivia,14105,Máfil,2025-12-01
14,Región de Los Ríos,141,Valdivia,14106,Mariquina,2025-12-01
